Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:25:28.708,1.87829411,7.77962208,5.6324873,0.01660359,0,667.75,-,-
16-Apr-2017 15:25:29.696,1.57173157,7.77962208,5.47920609,0.00211978,0,667.75,34.50980377,17.25490189
16-Apr-2017 15:25:30.696,1.61005187,6.7832942,7.08865929,0.03251237,0,660,34.90196228,17.64705849
16-Apr-2017 15:25:31.696,1.80165339,7.5880208,6.09233093,0.02781647,0,663.25,34.50980377,17.25490189
16-Apr-2017 15:25:32.702,1.68669248,7.43473959,6.32225275,0.02088561,0,662.5,34.90196228,17.64705849
16-Apr-2017 15:25:33.697,1.68669248,7.43473959,6.32225275,0.02088561,0,659.25,34.90196228,17.25490189
16-Apr-2017 15:25:34.697,1.68669248,7.43473959,6.32225275,0.02088561,0,664,34.50980377,17.25490189
16-Apr-2017 15:25:35.708,1.68669248,7.43473959,6.32225275,0.02088561,0,663.25,34.90196228,17.64705849
16-Apr-2017 15:25:36.699,1.30348933,7.54970026,6.01569033,0.01705564,0,664,34.90196228,17.25490189
16-Apr-2017 15:25:37.699,1.22684872,8.00954437,5.82408857,0.03621465,0,660.75,34.90196228,17.25490189
Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:25:39.298,2.45309877,6.55337238,6.78209639,0.01507676,0,663.25,34.90196228,17.64705849
16-Apr-2017 15:25:40.299,2.7979815,6.85993481,6.5138545,0.02460378,0,660.75,34.90196228,17.64705849
16-Apr-2017 15:25:41.291,2.72134089,6.40009117,7.05033875,0.02850443,0,660.75,34.90196228,17.64705849
16-Apr-2017 15:25:42.295,2.26149726,6.55337238,6.70545578,0.00217074,0,656.25,34.90196228,17.64705849
16-Apr-2017 15:25:43.297,2.45309877,6.7832942,7.0120182,0.04446167,0,660.75,34.90196228,17.25490189
16-Apr-2017 15:25:44.293,2.37645817,6.43841124,6.9353776,0.01360309,0,662.5,34.90196228,17.25490189
16-Apr-2017 15:25:45.298,2.52973938,6.55337238,6.59049511,0.00088418,0,660,34.90196228,17.64705849
16-Apr-2017 15:25:46.293,2.49141908,6.66833305,7.16529989,0.04858869,0,663.25,34.90196228,17.64705849
16-Apr-2017 15:25:47.296,1.30348933,8.16282558,5.67080736,0.04085654,0,658.5,34.90196228,17.64705849
16-Apr-2017 15:25:48.294,1.76333308,7.39641905,6.47553396,0.03708726,0,660.75,34.90196228,17.64705849
16-Apr-2017 15:25:49.296,2.22317696,7.47305965,6.09233093,0.02763683,0,661.5,34.90196228,17.64705849
16-Apr-2017 15:25:50.293,1.38013005,7.62634087,6.01569033,0.01909488,0,660.75,34.90196228,17.64705849
16-Apr-2017 15:25:51.295,2.18485665,6.85993481,6.66713572,0.01924366,0,660.75,34.90196228,17.64705849
16-Apr-2017 15:25:52.292,1.53341126,7.2814579,6.4372139,0.02197057,0,663.25,34.90196228,17.64705849
16-Apr-2017 15:25:53.302,2.22317696,7.66466141,5.55584669,0.01023763,0,663.25,34.90196228,17.64705849
16-Apr-2017 15:25:54.310,2.18485665,7.54970026,6.66713572,0.06960326,0,663.25,34.90196228,17.64705849
16-Apr-2017 15:25:55.306,1.83997381,7.54970026,5.82408857,0.00890803,0,664,34.90196228,17.64705849
Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:25:56.561,1.83997381,7.24313784,6.66713572,0.03989202,0,657.75,34.90196228,17.64705849
16-Apr-2017 15:25:57.566,0.69036436,8.0861845,5.78576851,0.0349887,0,664.75,34.90196228,17.25490189
16-Apr-2017 15:25:58.558,0.42212218,7.89458323,5.67080736,0.01078105,0,660.75,34.90196228,17.64705849
16-Apr-2017 15:25:59.560,0.80532533,8.00954437,5.90072918,0.03642911,0,660,34.90196228,17.64705849
16-Apr-2017 15:26:00.558,1.18852842,7.89458323,5.74744797,0.02177101,0,661.5,34.90196228,17.64705849
16-Apr-2017 15:26:01.558,1.53341126,8.20114517,4.75112009,-0.00228322,0,670.25,34.90196228,17.64705849
16-Apr-2017 15:26:02.570,1.80165339,7.74130201,5.55584669,0.01078244,0,668.75,34.90196228,17.64705849
16-Apr-2017 15:26:03.587,2.18485665,7.66466141,5.78576851,0.02293903,0,667,34.90196228,17.25490189
16-Apr-2017 15:26:04.553,1.91661441,7.16649723,6.20729208,0.00501162,0,671.75,34.50980377,17.25490189
16-Apr-2017 15:26:05.555,1.99325502,7.93290329,5.40256548,0.01824963,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:26:06.555,2.0315752,7.74130201,5.59416676,0.01438427,0,669.5,34.50980377,17.64705849
16-Apr-2017 15:26:07.557,1.64837217,7.66466141,5.74744797,0.00992489,0,667,34.90196228,17.64705849
16-Apr-2017 15:26:08.555,2.52973938,6.97489548,6.32225275,0.02520603,0,667,34.90196228,17.64705849
16-Apr-2017 15:26:09.559,2.26149726,6.51505184,6.74377632,0.00224781,0,667,34.90196228,17.64705849
16-Apr-2017 15:26:10.567,2.0315752,6.97489548,6.5138545,0.0136376,0,667,34.90196228,17.64705849
16-Apr-2017 15:26:11.568,1.49509096,7.05153608,6.62881517,0.01725554,0,667,34.90196228,17.64705849
Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:26:12.679,1.41845036,7.70298147,5.93904972,0.02099377,0,667,34.90196228,17.64705849
16-Apr-2017 15:26:13.674,1.18852842,7.54970026,6.36057329,0.03257912,0,666.25,34.90196228,17.25490189
16-Apr-2017 15:26:14.671,1.45677066,7.43473959,6.32225275,0.02486569,0,667,34.90196228,17.64705849
16-Apr-2017 15:26:15.671,0.49876282,7.81794262,5.93904972,0.02110296,0,667.75,34.90196228,17.64705849
16-Apr-2017 15:26:16.672,0.69036436,8.00954437,5.74744797,0.02638394,0,667,34.90196228,17.64705849
16-Apr-2017 15:26:17.677,0.19220032,8.0861845,5.55584669,0.01928383,0,662.5,34.90196228,17.64705849
16-Apr-2017 15:26:18.670,0.95860654,8.00954437,5.47920609,0.01392858,0,664,34.90196228,17.25490189
16-Apr-2017 15:26:19.684,1.99325502,7.31977844,5.6324873,-0.01783413,0,664,34.90196228,17.25490189
16-Apr-2017 15:26:20.675,4.3691144,6.82161427,6.01569033,0.04756254,0,664,34.90196228,17.25490189
16-Apr-2017 15:26:21.677,3.75598931,7.5880208,5.55584669,0.05129796,0,664,34.90196228,17.25490189
16-Apr-2017 15:26:22.678,2.91294241,7.5113802,5.59416676,0.01881635,0,664,34.90196228,17.25490189
16-Apr-2017 15:26:23.669,1.18852842,7.66466141,6.09233093,0.02438897,0,664,34.90196228,17.25490189
Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:26:25.661,1.07356751,7.5113802,6.01569033,0.00606143,0,660.75,34.90196228,17.64705849
16-Apr-2017 15:26:26.658,2.49141908,6.82161427,6.62881517,0.02131802,0,665.5,34.90196228,17.64705849
16-Apr-2017 15:26:27.654,1.03524721,7.85626268,5.78576851,0.01916426,0,665.5,34.90196228,17.64705849
16-Apr-2017 15:26:28.655,1.38013005,7.81794262,5.74744797,0.01807493,0,666.25,34.90196228,17.64705849
16-Apr-2017 15:26:29.655,1.26516902,7.77962208,5.74744797,0.01337415,0,664.75,34.90196228,17.64705849
16-Apr-2017 15:26:30.657,0.92028624,8.00954437,5.36424494,0.00612956,0,663.25,34.90196228,17.64705849
16-Apr-2017 15:26:31.655,1.07356751,7.5113802,6.47553396,0.03584653,0,667.75,34.90196228,17.64705849
16-Apr-2017 15:26:32.655,0.95860654,7.47305965,6.20729208,0.01410371,0,667,34.90196228,17.25490189
16-Apr-2017 15:26:33.655,0.92028624,7.62634087,6.20729208,0.02574378,0,671,34.90196228,17.25490189
16-Apr-2017 15:26:34.655,1.26516902,7.70298147,6.20729208,0.03564793,0,670.25,34.90196228,17.64705849
16-Apr-2017 15:26:35.654,-0.03772156,7.2048173,6.28393269,0.01373561,0,667,34.90196228,17.25490189
16-Apr-2017 15:26:36.657,0.26884094,7.66466141,6.24561214,0.02350827,0,667,34.90196228,17.25490189
16-Apr-2017 15:26:37.663,0.30716124,7.81794262,5.82408857,0.01326048,0,667,34.90196228,17.25490189
16-Apr-2017 15:26:38.660,1.03524721,7.70298147,6.24561214,0.03538364,0,667,34.90196228,17.25490189
16-Apr-2017 15:26:39.667,0.53708315,7.74130201,5.90072918,0.01273906,0,670.25,34.50980377,17.64705849
16-Apr-2017 15:26:40.662,0.53708315,7.39641905,6.62881517,0.03293377,0,666.25,34.90196228,17.25490189
16-Apr-2017 15:26:41.665,2.98958302,7.77962208,5.32592487,0.02722448,0,670.25,34.50980377,17.25490189
16-Apr-2017 15:26:42.661,2.06989574,7.62634087,5.7091279,0.01276445,0,672.5,34.50980377,17.25490189
16-Apr-2017 15:26:43.656,1.87829411,7.39641905,5.97736979,0.00712436,0,667,34.50980377,17.25490189
16-Apr-2017 15:26:44.667,0.69036436,8.12450504,5.44088554,0.01822716,0,673.25,34.50980377,17.25490189
16-Apr-2017 15:26:45.657,0.80532533,7.97122383,5.55584669,0.01285183,0,672.5,34.50980377,17.25490189
16-Apr-2017 15:26:46.656,1.03524721,7.74130201,5.93904972,0.01918548,0,667.75,34.50980377,17.25490189
16-Apr-2017 15:26:47.656,1.11188781,7.85626268,5.13432312,-0.01761138,0,671.75,34.50980377,17.25490189
16-Apr-2017 15:26:48.656,1.03524721,7.81794262,5.78576851,0.01603919,0,666.25,34.50980377,17.25490189
Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:26:50.058,1.61005187,6.63001299,7.16529989,0.02756077,0,670.25,34.50980377,17.64705849
16-Apr-2017 15:26:51.054,0.95860654,6.93657541,6.66713572,0.00460654,0,664.75,34.90196228,17.64705849
16-Apr-2017 15:26:52.054,0.49876282,8.00954437,5.13432312,-0.00985295,0,671,34.90196228,17.25490189
16-Apr-2017 15:26:53.051,1.18852842,7.70298147,5.7091279,0.00385225,0,671,34.90196228,17.25490189
16-Apr-2017 15:26:54.055,1.53341126,7.47305965,6.39889336,0.03399473,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:26:55.052,2.22317696,6.32345009,7.28026056,0.02776605,0,669.5,34.90196228,17.25490189
16-Apr-2017 15:26:56.053,0.80532533,7.47305965,6.24561214,0.01518297,0,666.25,34.90196228,17.64705849
16-Apr-2017 15:26:57.053,1.18852842,6.89825487,6.82041693,-0.00154537,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:26:58.051,1.38013005,6.40009117,7.77842474,0.05540103,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:26:59.055,1.41845036,6.17016888,7.47186232,0.01731312,0,666.25,34.90196228,17.25490189
16-Apr-2017 15:27:00.050,1.68669248,6.24680948,7.12697935,0.00025165,0,665.5,34.90196228,17.64705849
16-Apr-2017 15:27:01.050,2.06989574,7.08985662,6.47553396,0.02028233,0,667.75,34.90196228,17.64705849
16-Apr-2017 15:27:02.051,2.10821605,7.16649723,6.5138545,0.02932459,0,668.75,34.90196228,17.64705849
16-Apr-2017 15:27:03.052,1.64837217,6.89825487,6.82041693,0.02203494,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:27:04.052,1.41845036,6.70665359,7.08865929,0.02420372,0,667.75,34.90196228,17.25490189
16-Apr-2017 15:27:05.056,1.26516902,7.35809898,5.86240911,-0.01335126,0,667.75,34.90196228,17.25490189
16-Apr-2017 15:27:06.051,0.23052064,8.00954437,5.59416676,0.01517153,0,673.25,34.90196228,17.25490189
16-Apr-2017 15:27:07.065,1.22684872,6.82161427,6.78209639,0.0075053,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:27:08.053,0.49876282,7.43473959,6.28393269,0.01261932,0,671,34.90196228,17.25490189
16-Apr-2017 15:27:09.056,3.02790356,6.85993481,5.36424494,-0.04117799,0,670.25,34.90196228,17.25490189
16-Apr-2017 15:27:10.058,4.13919258,7.39641905,4.55951834,0.00008082,0,669.5,34.90196228,17.25490189
16-Apr-2017 15:27:11.051,2.95126271,7.66466141,5.17264366,0.00843418,0,669.5,34.90196228,17.25490189
16-Apr-2017 15:27:12.054,3.25782537,7.54970026,5.36424494,0.01978117,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:27:13.050,2.95126271,7.5113802,5.51752615,0.01555341,0,671,34.90196228,17.25490189
16-Apr-2017 15:27:14.062,3.44942689,7.62634087,5.09600258,0.01792264,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:27:15.063,3.71766901,7.70298147,4.44455767,0.00157279,0,671,34.90196228,17.25490189
16-Apr-2017 15:27:16.065,3.79430962,7.54970026,4.48287773,-0.00596535,0,667.75,34.50980377,17.64705849
16-Apr-2017 15:27:17.058,3.37278628,7.70298147,4.9044013,0.01132607,0,670.25,34.90196228,17.25490189
16-Apr-2017 15:27:18.057,3.41110659,7.74130201,4.44455767,-0.00689006,0,667.75,34.90196228,17.64705849
16-Apr-2017 15:27:19.064,3.71766901,8.20114517,4.63615894,0.05140287,0,668.75,34.90196228,17.25490189
16-Apr-2017 15:27:20.062,1.38013005,8.58434868,3.3332684,-0.03180212,0,669.5,34.90196228,17.25490189
16-Apr-2017 15:27:21.069,0.42212218,9.31243515,2.4519012,0.00157475,0,667.75,34.90196228,17.25490189
16-Apr-2017 15:27:22.061,0.76700503,9.15915298,2.26029968,-0.01616228,0,670.25,34.50980377,17.25490189
16-Apr-2017 15:27:23.063,0.19220032,6.89825487,2.64350271,-0.22769493,0,675,34.50980377,17.25490189
16-Apr-2017 15:27:24.062,1.99325502,7.70298147,6.05401039,0.0381642,0,673.25,34.50980377,17.25490189
16-Apr-2017 15:27:25.066,1.91661441,7.66466141,5.74744797,0.01492614,0,673.25,34.50980377,17.25490189
16-Apr-2017 15:27:26.057,1.99325502,7.77962208,5.6324873,0.01891887,0,674,34.50980377,17.25490189
16-Apr-2017 15:27:27.067,1.87829411,7.74130201,5.86240911,0.02721411,0,673.25,34.50980377,17.25490189
16-Apr-2017 15:27:28.055,1.76333308,7.74130201,5.67080736,0.01357698,0,677.25,34.50980377,17.25490189
16-Apr-2017 15:27:29.063,1.80165339,7.77962208,5.6324873,0.01513368,0,675,34.90196228,17.25490189
16-Apr-2017 15:27:30.068,1.83997381,7.74130201,5.67080736,0.01501852,0,674,34.90196228,17.25490189
16-Apr-2017 15:27:31.058,1.76333308,7.74130201,5.74744797,0.01813793,0,673.25,34.50980377,17.25490189
16-Apr-2017 15:27:32.060,1.53341126,7.81794262,5.55584669,0.00909448,0,671,34.50980377,17.25490189
16-Apr-2017 15:27:33.061,1.49509096,7.5880208,5.78576851,0.00356632,0,671.75,34.90196228,17.25490189
16-Apr-2017 15:27:34.059,1.53341126,7.70298147,6.01569033,0.02748317,0,670.25,34.50980377,17.25490189
16-Apr-2017 15:27:35.057,1.57173157,7.62634087,6.05401039,0.02442163,0,671.75,34.50980377,17.25490189
16-Apr-2017 15:27:36.061,1.45677066,7.74130201,6.05401039,0.06753296,0,669.5,34.90196228,17.25490189
16-Apr-2017 15:27:37.057,-6.24561214,6.51505184,4.78944016,0.06051427,0,670.25,34.50980377,17.25490189
16-Apr-2017 15:27:38.059,-8.16162777,5.71032524,4.21463585,0.1215356,0,672.5,34.90196228,17.25490189
16-Apr-2017 15:27:39.058,1.76333308,5.71032524,8.19994831,0.05332607,0,673.25,34.90196228,17.25490189
16-Apr-2017 15:27:40.055,1.07356751,5.90192699,8.73643208,0.0992921,0,666.25,34.90196228,17.64705849
16-Apr-2017 15:27:41.052,0.92028624,6.20848942,7.58682299,0.02271336,0,657,35.29411697,18.03921509
16-Apr-2017 15:27:42.061,1.22684872,3.83262992,9.04299545,0.02796823,0,642.75,38.03921509,18.43137169
16-Apr-2017 15:27:43.055,1.45677066,3.6027081,9.73276043,0.08728749,0,689,43.13725662,26.27450943
16-Apr-2017 15:27:44.055,-0.11436218,6.59169245,7.51018238,0.03768641,0,757,46.27450943,24.31372643
16-Apr-2017 15:27:45.058,0.03891907,6.85993481,6.9353776,0.01339161,0,742.75,43.92156982,23.52941132
16-Apr-2017 15:27:46.050,-0.22932312,6.36177063,7.77842474,0.04359716,0,741.25,43.13725662,23.52941132
16-Apr-2017 15:27:47.060,-2.22197938,2.7979815,10.6524477,-0.12146884,0,784.25,45.88235474,28.23529434
16-Apr-2017 15:27:48.058,-0.99572939,6.24680948,7.77842474,0.04100472,0,978.75,47.45098114,24.70588303
16-Apr-2017 15:27:49.052,-0.11436218,6.85993481,7.12697935,0.02743071,0,800.75,40.7843132,23.13725471
16-Apr-2017 15:27:50.052,0.65204406,7.12817669,6.97369814,0.03769761,4,732,42.35294342,23.13725471
16-Apr-2017 15:27:51.053,0.23052064,7.16649723,7.12697935,0.04954857,4,706.25,41.5686264,23.13725471
16-Apr-2017 15:27:52.055,1.61005187,6.32345009,8.16162777,0.08418077,3,724,41.5686264,21.96078491
16-Apr-2017 15:27:53.055,-0.34428406,6.82161427,7.16529989,0.02809435,3,782,43.92156982,26.27450943
16-Apr-2017 15:27:54.052,-0.38260436,7.62634087,6.28393269,0.0270682,3,737.5,43.92156982,24.31372643
16-Apr-2017 15:27:55.051,0.23052064,7.62634087,6.5138545,0.04164761,0,801.5,46.66666794,28.23529434
16-Apr-2017 15:27:56.057,0.03891907,7.2814579,6.97369814,0.04676157,4,992,48.62745285,25.09803963
16-Apr-2017 15:27:57.055,-1.22565126,7.05153608,7.62514353,0.08505219,8,1124,47.84313965,24.31372643
16-Apr-2017 15:27:58.055,0.69036436,6.66833305,7.05033875,0.01072788,8,1236.5,46.27450943,23.13725471
16-Apr-2017 15:27:59.055,0.65204406,6.51505184,7.97002602,0.03937763,12,1441.25,44.70588303,22.35294151
16-Apr-2017 15:28:00.052,0.03891907,6.17016888,8.00834656,0.04955083,13,1334.25,30.58823586,13.33333302
16-Apr-2017 15:28:01.051,0.84364563,6.05520821,7.85506535,0.03366464,13,896,34.50980377,21.96078491
16-Apr-2017 15:28:02.056,-0.459245,7.08985662,6.28393269,-0.0141319,15,963.25,38.4313736,20.3921566
16-Apr-2017 15:28:03.051,-0.26764342,6.74497366,7.35690117,0.03678817,16,1005.25,37.25490189,19.2156868
Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:28:04.746,-1.53221369,8.50770855,5.7091279,0.07503229,15,969.5,38.03921509,20
16-Apr-2017 15:28:05.738,-0.65084654,6.40009117,7.43354177,0.02110821,17,1008.5,36.86274719,19.2156868
16-Apr-2017 15:28:06.741,-0.34428406,5.51872396,8.54483128,0.05649918,15,917.75,37.25490189,21.1764698
16-Apr-2017 15:28:07.738,0.11555969,4.40743446,8.8513937,0.02702039,14,825.75,40.39215851,23.52941132
16-Apr-2017 15:28:08.738,0.57540345,3.75598931,9.00467491,0.01528662,12,1079.5,37.64706039,16.47058868
16-Apr-2017 15:28:09.738,0.11555969,-0.68916684,10.30756569,0.07213193,10,965.5,35.68627548,18.8235302
16-Apr-2017 15:28:10.738,1.11188781,4.33079386,9.38787746,0.07896775,7,746,41.17647171,25.88235283
16-Apr-2017 15:28:11.744,1.53341126,6.13184881,8.00834656,0.05897778,6,778.75,43.52941132,23.13725471
16-Apr-2017 15:28:12.737,0.03891907,6.40009117,7.7401042,0.04280216,5,1032,56.47058868,34.90196228
16-Apr-2017 15:28:13.744,0.00059875,5.36544228,8.23826885,0.02118462,9,1460.75,57.25490189,30.19607925
16-Apr-2017 15:28:14.738,-0.1526825,6.32345009,7.7401042,0.05619532,12,1739,55.29411697,27.84313774
16-Apr-2017 15:28:15.738,0.53708315,6.59169245,7.54850292,0.04202479,14,1516.25,60,38.03921509
16-Apr-2017 15:28:16.739,1.80165339,7.2814579,6.4372139,0.0265941,18,1309.25,64.31372833,38.82352829
16-Apr-2017 15:28:17.739,2.10821605,6.17016888,7.16529989,0.00656229,20,1310,69.80392456,37.64706039
16-Apr-2017 15:28:18.739,1.91661441,5.94024706,8.23826885,0.07259959,20,1352.25,51.76470566,13.33333302
16-Apr-2017 15:28:19.738,1.95493472,7.24313784,6.70545578,0.04470879,22,1273.25,29.41176605,20.3921566
16-Apr-2017 15:28:20.741,1.49509096,6.01688766,7.89338541,0.04215175,22,1355.25,41.17647171,22.35294151
16-Apr-2017 15:28:21.740,1.34180975,5.67200518,8.16162777,0.04134148,22,1403.75,46.66666794,25.09803963
