Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 16:44:16.513,0.00059875,7.24313784,7.0120182,0.04664952,0,0,0,0
16-Apr-2017 16:44:17.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,0,0,0
16-Apr-2017 16:44:18.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,850.75,38.4313736,36.86274338
16-Apr-2017 16:44:19.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,1818.75,37.25490189,20.7843132
16-Apr-2017 16:44:20.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,1621,26.66666794,12.15686321
16-Apr-2017 16:44:21.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,1023.25,29.01960754,16.86274529
16-Apr-2017 16:44:22.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,845.25,34.50980377,20.3921566
16-Apr-2017 16:44:23.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,887.5,37.64706039,20.7843132
16-Apr-2017 16:44:24.512,-0.42092469,6.93657541,7.77842474,0.08226067,0,919.5,37.25490189,20
16-Apr-2017 16:44:25.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,886.5,36.86274719,20
16-Apr-2017 16:44:26.519,-0.42092469,6.93657541,7.77842474,0.08226067,0,865.5,36.86274719,20.3921566
16-Apr-2017 16:44:27.513,-0.42092469,6.93657541,7.77842474,0.08226067,0,849,37.64706039,20.3921566
16-Apr-2017 16:44:28.512,-0.42092469,6.93657541,7.77842474,0.08226067,0,839.75,37.64706039,20.7843132
16-Apr-2017 16:44:29.515,-0.42092469,6.93657541,7.77842474,0.08226067,0,834.25,38.03921509,20.7843132
16-Apr-2017 16:44:30.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,829.5,38.03921509,20.7843132
16-Apr-2017 16:44:31.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,833.5,38.03921509,20.7843132
16-Apr-2017 16:44:32.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,819.5,37.64706039,20.7843132
16-Apr-2017 16:44:33.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,825.75,38.03921509,20.7843132
16-Apr-2017 16:44:34.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,823.25,38.03921509,20.7843132
16-Apr-2017 16:44:35.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,814.75,38.03921509,20.7843132
16-Apr-2017 16:44:36.512,-0.42092469,6.93657541,7.77842474,0.08226067,0,810.75,38.03921509,20.7843132
16-Apr-2017 16:44:37.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,813.25,38.03921509,20.7843132
16-Apr-2017 16:44:38.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,816.25,38.03921509,20.7843132
16-Apr-2017 16:44:39.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,809.25,38.03921509,20.7843132
16-Apr-2017 16:44:40.510,-0.42092469,6.93657541,7.77842474,0.08226067,0,809.25,41.5686264,27.05882263
16-Apr-2017 16:44:41.512,-0.42092469,6.93657541,7.77842474,0.08226067,0,770.25,46.27450943,27.45098114
16-Apr-2017 16:44:42.511,-0.42092469,6.93657541,7.77842474,0.08226067,0,758.5,45.88235474,26.27450943
16-Apr-2017 16:44:43.513,-0.42092469,6.93657541,7.77842474,0.08226067,0,760,45.88235474,25.88235283
