Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:29:49.223,2.29981756,5.67200518,7.85506535,0.03409213,-,1609.25,-,-
16-Apr-2017 15:29:50.215,1.99325502,5.90192699,6.9353776,-0.03071469,28,1644.5,67.45098114,-
16-Apr-2017 15:29:51.217,1.99325502,5.90192699,6.9353776,-0.03071469,28,1678,67.84313965,40
16-Apr-2017 15:29:52.215,1.99325502,5.90192699,6.9353776,-0.03071469,29,1711.5,70.98039246,43.13725662
16-Apr-2017 15:29:53.215,1.99325502,5.90192699,6.9353776,-0.03071469,29,1725.75,67.45098114,40
16-Apr-2017 15:29:54.217,-0.459245,7.31977844,6.32225275,0.03324262,29,1733.5,67.84313965,40
16-Apr-2017 15:29:55.214,1.03524721,8.00954437,5.51752615,0.01604205,31,1744.5,67.84313965,21.56862831
16-Apr-2017 15:29:56.214,0.9969269,7.70298147,5.67080736,-0.00066775,31,1494.5,52.94117737,25.09803963
16-Apr-2017 15:29:57.214,0.88196594,8.16282558,5.28760433,0.01448125,31,1691.25,63.13725662,38.03921509
16-Apr-2017 15:29:58.214,0.80532533,8.23946571,5.59416676,0.03751153,32,1713.25,65.49019623,38.4313736
16-Apr-2017 15:29:59.217,0.46044251,8.50770855,4.75112009,0.01342595,31,1738.25,65.49019623,38.4313736
16-Apr-2017 15:30:00.214,0.76700503,8.04786396,6.28393269,0.06276613,31,1730.25,65.49019623,38.03921509
16-Apr-2017 15:30:01.213,1.11188781,7.5113802,5.78576851,0.01945622,33,1505.25,42.35294342,22.74509811
16-Apr-2017 15:30:02.216,0.26884094,8.12450504,6.28393269,0.01008978,31,1608.5,60.7843132,36.86274338
16-Apr-2017 15:30:03.215,1.18852842,7.93290329,6.24561214,-0.01070294,31,1683.5,62.35294342,36.47058868
16-Apr-2017 15:30:04.220,0.76700503,8.16282558,4.9044013,-0.00712651,31,1745.25,67.45098114,39.2156868
16-Apr-2017 15:30:05.214,0.49876282,8.35442734,4.32959652,-0.02046204,31,1709.25,62.74509811,35.29411697
16-Apr-2017 15:30:06.213,1.15020812,7.97122383,6.24561214,0.05791074,33,1729.5,63.52941132,37.25490189
16-Apr-2017 15:30:07.213,-0.459245,6.82161427,7.7401042,0.07173878,33,1732,54.50980377,10.1960783
16-Apr-2017 15:30:08.214,-0.07604187,6.85993481,6.70545578,-0.00310981,33,1471,46.27450943,39.60784149
16-Apr-2017 15:30:09.213,-0.11436218,8.50770855,5.05768251,0.02799064,32,1726.5,63.52941132,39.2156868
16-Apr-2017 15:30:10.215,2.22317696,8.3161068,4.55951834,-0.00804109,31,1601.5,65.49019623,27.84313774
16-Apr-2017 15:30:11.212,0.03891907,6.43841124,8.16162777,0.07868594,31,1496.75,45.09804153,19.2156868
16-Apr-2017 15:30:12.214,0.38380188,7.66466141,5.86240911,0.01522033,30,1491.25,56.07843399,31.76470566
16-Apr-2017 15:30:13.214,0.11555969,7.5113802,5.93904972,-0.00481749,30,1639.75,60.7843132,36.47058868
16-Apr-2017 15:30:14.214,2.06989574,6.93657541,6.66713572,0.02219087,30,1675,64.31372833,37.64706039
16-Apr-2017 15:30:15.219,1.45677066,6.66833305,6.66713572,-0.00837368,32,1709.25,65.49019623,38.4313736
16-Apr-2017 15:30:16.214,0.65204406,6.24680948,8.27658844,0.07811159,31,1732.75,65.09803772,38.03921509
16-Apr-2017 15:30:17.214,1.83997381,6.63001299,7.08865929,0.0260182,33,1716.25,63.13725662,38.4313736
16-Apr-2017 15:30:18.218,1.95493472,7.12817669,6.5138545,0.02700883,33,1775,65.09803772,38.03921509
16-Apr-2017 15:30:19.215,0.80532533,7.81794262,6.9353776,0.05430561,33,1776.5,65.09803772,37.25490189
16-Apr-2017 15:30:20.218,1.03524721,7.54970026,5.7091279,0.0229563,34,1634.25,51.76470566,37.25490189
16-Apr-2017 15:30:21.214,2.06989574,7.85626268,5.24928427,0.02937375,34,1650.75,68.23529816,41.17647171
16-Apr-2017 15:30:22.213,1.87829411,7.66466141,5.36424494,-0.00831705,33,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:23.213,1.41845036,8.16282558,5.13432312,0.01258308,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:24.214,1.07356751,7.24313784,4.71279955,-0.09335309,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:25.213,1.38013005,7.70298147,7.08865929,0.09533757,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:26.214,0.53708315,7.5880208,7.08865929,0.07892507,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:27.213,1.68669248,7.5113802,6.39889336,0.028853,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:28.213,2.06989574,8.00954437,5.59416676,0.0199496,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:29.216,1.34180975,7.39641905,6.32225275,-0.00620807,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:30.217,1.72501278,7.77962208,6.32225275,0.05589849,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:31.214,2.26149726,7.31977844,6.55217457,0.04661447,35,1703.75,69.80392456,42.74509811
16-Apr-2017 15:30:32.214,1.99325502,7.2048173,5.93904972,-0.00775838,35,1703.75,69.80392456,36.47058868
16-Apr-2017 15:30:33.214,1.87829411,7.05153608,6.9353776,0.04523379,34,1069.5,30.98039246,36.47058868
16-Apr-2017 15:30:34.213,1.76333308,6.97489548,7.16529989,0.05404776,34,1069.5,30.98039246,36.47058868
16-Apr-2017 15:30:35.218,3.02790356,7.35809898,5.6324873,0.01273859,34,1069.5,30.98039246,36.47058868
16-Apr-2017 15:30:36.213,3.37278628,7.35809898,4.94272137,-0.01422316,34,1069.5,30.98039246,36.47058868
16-Apr-2017 15:30:37.212,1.53341126,6.82161427,6.59049511,-0.00155556,34,1069.5,30.98039246,36.47058868
16-Apr-2017 15:30:38.217,-0.53588563,7.08985662,6.59049511,0.00725007,34,1069.5,30.98039246,36.47058868
16-Apr-2017 15:30:39.213,0.19220032,7.2814579,6.70545578,0.02822429,34,1069.5,30.98039246,36.47058868
