Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:32:55.735,0.34548157,5.78696585,8.0466671,0.0299601,15,1742.75,50.19607925,26.27450943
16-Apr-2017 15:32:56.723,1.76333308,5.67200518,7.0120182,-0.04423809,17,1448.25,56.47058868,28.62745094
16-Apr-2017 15:32:57.724,1.22684872,5.82528639,8.00834656,0.03618795,21,1345.25,55.68627548,23.52941132
16-Apr-2017 15:32:58.725,-0.1910028,5.59536457,8.19994831,0.0311237,23,1380.25,41.96078491,17.64705849
16-Apr-2017 15:32:59.726,-0.42092469,5.63368464,8.12330723,0.02762681,23,1427.25,38.03921509,19.2156868
16-Apr-2017 15:33:00.723,-0.88076842,5.9785676,8.08498764,0.0479359,25,1494.5,39.2156868,23.92156792
16-Apr-2017 15:33:01.727,0.42212218,5.86360645,8.08498764,0.03799623,25,1278.75,45.88235474,23.92156792
16-Apr-2017 15:33:02.725,0.26884094,6.32345009,7.8167448,0.04426223,26,1300,40.39215851,18.8235302
16-Apr-2017 15:33:03.722,0.95860654,6.36177063,7.77842474,0.04798084,27,1287.5,35.68627548,17.64705849
16-Apr-2017 15:33:04.726,1.99325502,6.24680948,7.05033875,0.00047171,27,1321.75,37.25490189,20.3921566
16-Apr-2017 15:33:05.729,0.9969269,6.43841124,7.35690117,0.02073842,28,1359.25,39.60784531,20.3921566
16-Apr-2017 15:33:06.727,0.95860654,6.09352827,8.16162777,0.06185967,30,1392.75,40.7843132,17.25490189
16-Apr-2017 15:33:07.728,0.46044251,5.63368464,8.16162777,0.0310151,31,1317,25.49019623,10.98039246
16-Apr-2017 15:33:08.728,0.42212218,6.43841124,7.62514353,0.03721613,30,1364.75,28.62745094,16.47058868
16-Apr-2017 15:33:09.731,1.72501278,5.48040342,8.16162777,0.03644282,30,1375.75,32.54901886,16.47058868
16-Apr-2017 15:33:10.728,0.76700503,5.21216106,8.46819019,0.03563827,30,1390.5,32.94117737,16.47058868
16-Apr-2017 15:33:11.729,0.57540345,5.51872396,8.31490898,0.03798622,32,1320.25,25.09803963,10.5882349
16-Apr-2017 15:33:12.729,0.42212218,6.05520821,8.19994831,0.05896956,30,1256.25,26.66666794,12.15686321
16-Apr-2017 15:33:13.731,1.57173157,6.85993481,6.85873699,0.02074009,31,1389.75,30.19607925,15.68627453
16-Apr-2017 15:33:14.725,3.25782537,7.31977844,3.56319022,-0.08715379,30,1299,25.09803963,10.98039246
16-Apr-2017 15:33:15.730,5.71032524,7.70298147,3.63983083,0.06449646,31,1251.5,25.09803963,11.76470566
16-Apr-2017 15:33:16.729,3.98591137,7.39641905,4.75112009,0.0029285,30,1279.5,25.49019623,11.76470566
16-Apr-2017 15:33:17.727,5.36544228,7.70298147,3.98471379,0.0585646,31,1258.5,25.49019623,12.15686321
16-Apr-2017 15:33:18.730,4.21583319,7.93290329,4.63615894,0.04951078,30,1250,25.88235283,12.15686321
16-Apr-2017 15:33:19.733,0.84364563,6.59169245,8.16162777,0.05148669,30,1232.75,26.27450943,12.54901981
16-Apr-2017 15:33:20.726,-0.1526825,7.43473959,6.16897154,0.00391662,28,1236.5,26.66666794,12.54901981
16-Apr-2017 15:33:21.725,-0.34428406,8.12450504,7.08865929,0.11866707,28,1259.25,26.27450943,12.54901981
16-Apr-2017 15:33:22.728,0.23052064,7.85626268,5.51752615,-0.00210369,30,1259.25,25.88235283,12.15686321
16-Apr-2017 15:33:23.732,1.76333308,7.35809898,6.01569033,0.00436288,30,1268.75,25.88235283,12.15686321
16-Apr-2017 15:33:24.724,1.68669248,7.89458323,5.40256548,0.00918931,32,1275,25.49019623,11.76470566
16-Apr-2017 15:33:25.731,3.33446598,7.2814579,4.55951834,-0.04159009,30,1289,25.49019623,12.15686321
16-Apr-2017 15:33:26.728,2.64470029,7.43473959,5.97736979,0.02811629,32,1314,25.09803963,11.37254906
16-Apr-2017 15:33:27.730,2.87462211,7.16649723,5.17264366,-0.00652182,31,1267,25.49019623,11.76470566
16-Apr-2017 15:33:28.724,2.0315752,7.81794262,5.97736979,0.04333276,32,1193.75,26.27450943,12.54901981
16-Apr-2017 15:33:29.724,-0.84244812,7.77962208,7.58682299,0.13002747,28,1216.25,27.05882454,12.94117641
16-Apr-2017 15:33:30.730,0.53708315,7.93290329,5.47920609,0.00331634,28,1216.25,27.05882454,12.54901981
16-Apr-2017 15:33:31.729,1.07356751,7.39641905,6.5138545,0.02961403,28,1261.5,26.27450943,12.54901981
16-Apr-2017 15:33:32.729,0.38380188,7.12817669,6.24561214,0.001315,32,1287.5,25.09803963,11.76470566
16-Apr-2017 15:33:33.723,0.07723938,7.5113802,5.13432312,-0.05349797,33,1298.25,25.09803963,11.76470566
16-Apr-2017 15:33:34.724,0.03891907,7.85626268,5.93904972,0.02293354,34,1428,27.84313774,14.90196037
16-Apr-2017 15:33:35.729,-0.65084654,8.04786396,6.39889336,0.06918424,36,1599,28.23529434,13.72549057
16-Apr-2017 15:33:36.732,0.42212218,7.5880208,6.01569033,0.00702351,38,1605.25,23.92156982,9.4117651
16-Apr-2017 15:33:37.725,-0.459245,8.69930935,7.77842474,0.2094925,39,1079.5,25.09803963,14.11764717
16-Apr-2017 15:33:38.729,0.76700503,7.39641905,6.89705753,0.0528658,39,1137.5,27.84313774,13.72549057
16-Apr-2017 15:33:39.726,0.72868466,7.2048173,7.7401042,0.09947997,41,1137.5,28.23529434,13.72549057
16-Apr-2017 15:33:40.725,1.68669248,6.97489548,7.20361996,0.0554834,40,1142.75,28.23529434,13.72549057
16-Apr-2017 15:33:41.724,0.84364563,6.89825487,6.97369814,0.02259928,41,1428.75,28.23529434,10.5882349
16-Apr-2017 15:33:42.735,1.11188781,7.39641905,5.90072918,-0.00985789,41,1428.75,23.92156982,10.98039246
16-Apr-2017 15:33:43.728,0.61372375,7.66466141,6.97369814,0.07716161,41,1392.75,24.31372643,10.98039246
16-Apr-2017 15:33:44.729,1.11188781,6.63001299,7.2419405,0.02626282,41,1353,24.31372643,10.98039246
16-Apr-2017 15:33:45.724,1.07356751,6.93657541,6.9353776,0.02486402,41,1353,24.31372643,10.98039246
16-Apr-2017 15:33:46.725,0.65204406,7.62634087,6.13065147,0.01866233,41,1320.25,24.31372643,12.15686321
16-Apr-2017 15:33:47.725,0.53708315,7.2048173,6.78209639,0.02912456,38,1320.25,25.88235283,12.15686321
16-Apr-2017 15:33:48.725,1.18852842,7.12817669,6.05401039,-0.02000827,38,1320.25,25.88235283,10.98039246
16-Apr-2017 15:33:49.725,0.92028624,7.89458323,6.20729208,0.04700536,41,1361.5,24.70588303,10.98039246
16-Apr-2017 15:33:50.728,0.92028624,7.35809898,6.74377632,0.04074568,41,1361.5,24.70588303,10.98039246
16-Apr-2017 15:33:51.727,1.53341126,7.05153608,6.28393269,-0.00557983,42,1380.25,24.31372643,10.98039246
16-Apr-2017 15:33:52.732,1.38013005,7.54970026,6.74377632,0.06045908,42,1380.25,24.31372643,10.98039246
16-Apr-2017 15:33:53.724,1.53341126,6.59169245,7.3185811,0.03511804,42,1406.25,23.92156982,10.5882349
16-Apr-2017 15:33:54.727,0.95860654,6.97489548,6.09233093,-0.03192198,42,1406.25,23.92156982,10.5882349
16-Apr-2017 15:33:55.728,0.34548157,7.74130201,7.47186232,0.11630517,42,1406.25,23.92156982,10.5882349
16-Apr-2017 15:33:56.730,1.99325502,6.82161427,6.32225275,-0.01137602,42,1382,23.92156982,10.5882349
16-Apr-2017 15:33:57.727,0.72868466,7.5113802,5.7091279,-0.01638514,42,1367.75,23.92156982,10.98039246
16-Apr-2017 15:33:58.733,1.53341126,6.74497366,7.35690117,0.04835981,42,1367.75,23.92156982,10.98039246
16-Apr-2017 15:33:59.727,0.72868466,7.5113802,6.55217457,0.03777045,40,1364.75,24.31372643,10.98039246
16-Apr-2017 15:34:00.724,0.95860654,7.31977844,6.9353776,0.05152231,41,1378.75,24.31372643,10.98039246
16-Apr-2017 15:34:01.724,0.84364563,7.74130201,6.5138545,0.05389589,41,1378.75,24.31372643,10.98039246
16-Apr-2017 15:34:02.725,0.49876282,6.82161427,7.47186232,0.05159467,40,1346,24.70588303,10.98039246
16-Apr-2017 15:34:03.725,1.15020812,6.97489548,7.77842474,0.09043294,40,1315.5,25.09803963,11.76470566
16-Apr-2017 15:34:04.724,1.91661441,6.66833305,7.0120182,0.0245561,37,1253,25.88235283,12.54901981
16-Apr-2017 15:34:05.724,1.87829411,5.74864578,8.35322952,0.07024151,36,1272.5,26.27450943,12.54901981
16-Apr-2017 15:34:06.728,0.76700503,6.51505184,8.23826885,0.09250277,34,1263.25,26.66666794,12.54901981
16-Apr-2017 15:34:07.724,0.65204406,6.63001299,5.90072918,-0.07381499,33,1246.75,27.05882454,13.33333302
16-Apr-2017 15:34:08.727,0.65204406,6.7832942,7.28026056,0.03551191,31,1254.5,27.05882454,13.33333302
16-Apr-2017 15:34:09.724,0.57540345,6.7832942,7.62514353,0.06098646,30,1124,27.84313774,14.50980377
16-Apr-2017 15:34:10.724,0.80532533,6.47673178,7.85506535,0.06004697,26,1048.25,31.37254906,16.07843208
16-Apr-2017 15:34:11.724,0.61372375,6.13184881,8.19994831,0.06461209,25,964.75,33.33333206,17.64705849
